"","SEQN","Schooling"
"15148",15148,5
"15149",15149,1
"15150",15150,NA
"15151",15151,NA
"15152",15152,NA
"15153",15153,NA
"15154",15154,1
"15155",15155,5
"15156",15156,1
"15157",15157,3
"15158",15158,NA
"15159",15159,4
"15160",15160,5
"15161",15161,1
"15162",15162,NA
"15163",15163,5
"15164",15164,3
"15165",15165,NA
"15166",15166,NA
"15167",15167,NA
"15168",15168,NA
"15169",15169,NA
"15170",15170,NA
"15171",15171,NA
"15172",15172,4
"15173",15173,NA
"15174",15174,NA
"15175",15175,NA
"15176",15176,NA
"15177",15177,NA
"15178",15178,4
"15179",15179,3
"15180",15180,5
"15181",15181,4
"15182",15182,5
"15183",15183,1
"15184",15184,5
"15185",15185,2
"15186",15186,4
"15187",15187,4
"15188",15188,NA
"15189",15189,4
"15190",15190,NA
"15191",15191,NA
"15192",15192,NA
"15193",15193,2
"15194",15194,2
"15195",15195,3
"15196",15196,NA
"15197",15197,5
"15198",15198,1
"15199",15199,NA
"15200",15200,2
"15201",15201,NA
"15202",15202,NA
"15203",15203,4
"15204",15204,2
"15205",15205,NA
"15206",15206,2
"15207",15207,NA
"15208",15208,NA
"15209",15209,NA
"15210",15210,NA
"15211",15211,4
"15212",15212,NA
"15213",15213,NA
"15214",15214,1
"15215",15215,2
"15216",15216,NA
"15217",15217,NA
"15218",15218,4
"15219",15219,NA
"15220",15220,NA
"15221",15221,4
"15222",15222,2
"15223",15223,NA
"15224",15224,NA
"15225",15225,4
"15226",15226,NA
"15227",15227,3
"15228",15228,4
"15229",15229,4
"15230",15230,NA
"15231",15231,NA
"15232",15232,1
"15233",15233,5
"15234",15234,NA
"15235",15235,NA
"15236",15236,1
"15237",15237,NA
"15238",15238,2
"15239",15239,NA
"15240",15240,2
"15241",15241,3
"15242",15242,NA
"15243",15243,NA
"15244",15244,NA
"15245",15245,NA
"15246",15246,NA
"15247",15247,2
"15248",15248,NA
"15249",15249,NA
"15250",15250,2
"15251",15251,NA
"15252",15252,1
"15253",15253,NA
"15254",15254,NA
"15255",15255,NA
"15256",15256,NA
"15257",15257,3
"15258",15258,4
"15259",15259,1
"15260",15260,NA
"15261",15261,1
"15262",15262,2
"15263",15263,3
"15264",15264,5
"15265",15265,NA
"15266",15266,1
"15267",15267,NA
"15268",15268,NA
"15269",15269,NA
"15270",15270,3
"15271",15271,NA
"15272",15272,2
"15273",15273,3
"15274",15274,NA
"15275",15275,3
"15276",15276,NA
"15277",15277,1
"15278",15278,3
"15279",15279,2
"15280",15280,4
"15281",15281,4
"15282",15282,5
"15283",15283,4
"15284",15284,4
"15285",15285,NA
"15286",15286,NA
"15287",15287,5
"15288",15288,5
"15289",15289,NA
"15290",15290,NA
"15291",15291,1
"15292",15292,3
"15293",15293,4
"15294",15294,4
"15295",15295,NA
"15296",15296,NA
"15297",15297,NA
"15298",15298,NA
"15299",15299,NA
"15300",15300,3
"15301",15301,NA
"15302",15302,NA
"15303",15303,5
"15304",15304,4
"15305",15305,NA
"15306",15306,NA
"15307",15307,4
"15308",15308,3
"15309",15309,1
"15310",15310,5
"15311",15311,5
"15312",15312,NA
"15313",15313,3
"15314",15314,NA
"15315",15315,5
"15316",15316,NA
"15317",15317,NA
"15318",15318,NA
"15319",15319,NA
"15320",15320,NA
"15321",15321,NA
"15322",15322,4
"15323",15323,NA
"15324",15324,4
"15325",15325,2
"15326",15326,NA
"15327",15327,3
"15328",15328,NA
"15329",15329,NA
"15330",15330,5
"15331",15331,NA
"15332",15332,3
"15333",15333,NA
"15334",15334,NA
"15335",15335,3
"15336",15336,NA
"15337",15337,4
"15338",15338,NA
"15339",15339,NA
"15340",15340,2
"15341",15341,3
"15342",15342,2
"15343",15343,2
"15344",15344,NA
"15345",15345,NA
"15346",15346,NA
"15347",15347,NA
"15348",15348,5
"15349",15349,3
"15350",15350,4
"15351",15351,1
"15352",15352,NA
"15353",15353,NA
"15354",15354,5
"15355",15355,NA
"15356",15356,5
"15357",15357,NA
"15358",15358,NA
"15359",15359,3
"15360",15360,5
"15361",15361,NA
"15362",15362,NA
"15363",15363,3
"15364",15364,NA
"15365",15365,3
"15366",15366,3
"15367",15367,NA
"15368",15368,NA
"15369",15369,3
"15370",15370,5
"15371",15371,2
"15372",15372,NA
"15373",15373,NA
"15374",15374,NA
"15375",15375,NA
"15376",15376,5
"15377",15377,NA
"15378",15378,4
"15379",15379,1
"15380",15380,4
"15381",15381,NA
"15382",15382,2
"15383",15383,NA
"15384",15384,4
"15385",15385,NA
"15386",15386,NA
"15387",15387,NA
"15388",15388,NA
"15389",15389,2
"15390",15390,4
"15391",15391,5
"15392",15392,NA
"15393",15393,NA
"15394",15394,NA
"15395",15395,NA
"15396",15396,NA
"15397",15397,NA
"15398",15398,2
"15399",15399,5
"15400",15400,NA
"15401",15401,5
"15402",15402,NA
"15403",15403,3
"15404",15404,5
"15405",15405,NA
"15406",15406,1
"15407",15407,4
"15408",15408,NA
"15409",15409,NA
"15410",15410,NA
"15411",15411,NA
"15412",15412,NA
"15413",15413,1
"15414",15414,NA
"15415",15415,3
"15416",15416,NA
"15417",15417,3
"15418",15418,4
"15419",15419,NA
"15420",15420,2
"15421",15421,NA
"15422",15422,NA
"15423",15423,NA
"15424",15424,NA
"15425",15425,NA
"15426",15426,NA
"15427",15427,3
"15428",15428,3
"15429",15429,NA
"15430",15430,4
"15431",15431,NA
"15432",15432,4
"15433",15433,NA
"15434",15434,NA
"15435",15435,NA
"15436",15436,5
"15437",15437,2
"15438",15438,4
"15439",15439,1
"15440",15440,3
"15441",15441,NA
"15442",15442,1
"15443",15443,5
"15444",15444,3
"15445",15445,NA
"15446",15446,4
"15447",15447,NA
"15448",15448,NA
"15449",15449,NA
"15450",15450,3
"15451",15451,1
"15452",15452,4
"15453",15453,5
"15454",15454,NA
"15455",15455,NA
"15456",15456,NA
"15457",15457,4
"15458",15458,3
"15459",15459,NA
"15460",15460,NA
"15461",15461,5
"15462",15462,NA
"15463",15463,NA
"15464",15464,4
"15465",15465,NA
"15466",15466,5
"15467",15467,3
"15468",15468,4
"15469",15469,3
"15470",15470,5
"15471",15471,NA
"15472",15472,NA
"15473",15473,1
"15474",15474,NA
"15475",15475,NA
"15476",15476,NA
"15477",15477,2
"15478",15478,NA
"15479",15479,4
"15480",15480,4
"15481",15481,5
"15482",15482,5
"15483",15483,5
"15484",15484,NA
"15485",15485,NA
"15486",15486,5
"15487",15487,NA
"15488",15488,NA
"15489",15489,3
"15490",15490,NA
"15491",15491,2
"15492",15492,NA
"15493",15493,3
"15494",15494,NA
"15495",15495,NA
"15496",15496,5
"15497",15497,3
"15498",15498,NA
"15499",15499,NA
"15500",15500,4
"15501",15501,NA
"15502",15502,NA
"15503",15503,1
"15504",15504,3
"15505",15505,2
"15506",15506,NA
"15507",15507,NA
"15508",15508,4
"15509",15509,NA
"15510",15510,NA
"15511",15511,NA
"15512",15512,NA
"15513",15513,NA
"15514",15514,NA
"15515",15515,3
"15516",15516,1
"15517",15517,NA
"15518",15518,NA
"15519",15519,NA
"15520",15520,1
"15521",15521,2
"15522",15522,NA
"15523",15523,NA
"15524",15524,NA
"15525",15525,5
"15526",15526,4
"15527",15527,5
"15528",15528,1
"15529",15529,NA
"15530",15530,3
"15531",15531,4
"15532",15532,5
"15533",15533,NA
"15534",15534,3
"15535",15535,NA
"15536",15536,NA
"15537",15537,4
"15538",15538,NA
"15539",15539,5
"15540",15540,NA
"15541",15541,NA
"15542",15542,NA
"15543",15543,NA
"15544",15544,NA
"15545",15545,3
"15546",15546,4
"15547",15547,NA
"15548",15548,5
"15549",15549,NA
"15550",15550,2
"15551",15551,NA
"15552",15552,4
"15553",15553,NA
"15554",15554,NA
"15555",15555,NA
"15556",15556,5
"15557",15557,4
"15558",15558,NA
"15559",15559,2
"15560",15560,2
"15561",15561,NA
"15562",15562,4
"15563",15563,3
"15564",15564,NA
"15565",15565,1
"15566",15566,NA
"15567",15567,NA
"15568",15568,3
"15569",15569,4
"15570",15570,NA
"15571",15571,4
"15572",15572,NA
"15573",15573,NA
"15574",15574,NA
"15575",15575,NA
"15576",15576,1
"15577",15577,2
"15578",15578,3
"15579",15579,4
"15580",15580,NA
"15581",15581,NA
"15582",15582,NA
"15583",15583,1
"15584",15584,NA
"15585",15585,5
"15586",15586,NA
"15587",15587,NA
"15588",15588,1
"15589",15589,NA
"15590",15590,3
"15591",15591,4
"15592",15592,NA
"15593",15593,NA
"15594",15594,4
"15595",15595,NA
"15596",15596,4
"15597",15597,3
"15598",15598,1
"15599",15599,5
"15600",15600,NA
"15601",15601,NA
"15602",15602,4
"15603",15603,3
"15604",15604,4
"15605",15605,NA
"15606",15606,3
"15607",15607,NA
"15608",15608,NA
"15609",15609,NA
"15610",15610,NA
"15611",15611,3
"15612",15612,4
"15613",15613,NA
"15614",15614,2
"15615",15615,4
"15616",15616,2
"15617",15617,2
"15618",15618,4
"15619",15619,NA
"15620",15620,3
"15621",15621,5
"15622",15622,NA
"15623",15623,NA
"15624",15624,5
"15625",15625,NA
"15626",15626,3
"15627",15627,5
"15628",15628,NA
"15629",15629,4
"15630",15630,NA
"15631",15631,NA
"15632",15632,4
"15633",15633,2
"15634",15634,1
"15635",15635,NA
"15636",15636,1
"15637",15637,NA
"15638",15638,5
"15639",15639,3
"15640",15640,1
"15641",15641,2
"15642",15642,1
"15643",15643,4
"15644",15644,NA
"15645",15645,NA
"15646",15646,4
"15647",15647,5
"15648",15648,3
"15649",15649,2
"15650",15650,NA
"15651",15651,NA
"15652",15652,3
"15653",15653,2
"15654",15654,NA
"15655",15655,2
"15656",15656,3
"15657",15657,NA
"15658",15658,5
"15659",15659,NA
"15660",15660,1
"15661",15661,NA
"15662",15662,NA
"15663",15663,NA
"15664",15664,1
"15665",15665,NA
"15666",15666,1
"15667",15667,NA
"15668",15668,4
"15669",15669,4
"15670",15670,NA
"15671",15671,NA
"15672",15672,NA
"15673",15673,NA
"15674",15674,NA
"15675",15675,NA
"15676",15676,NA
"15677",15677,NA
"15678",15678,5
"15679",15679,1
"15680",15680,NA
"15681",15681,NA
"15682",15682,NA
"15683",15683,NA
"15684",15684,NA
"15685",15685,NA
"15686",15686,NA
"15687",15687,2
"15688",15688,3
"15689",15689,NA
"15690",15690,NA
"15691",15691,1
"15692",15692,NA
"15693",15693,NA
"15694",15694,2
"15695",15695,NA
"15696",15696,NA
"15697",15697,3
"15698",15698,NA
"15699",15699,NA
"15700",15700,NA
"15701",15701,NA
"15702",15702,2
"15703",15703,5
"15704",15704,NA
"15705",15705,4
"15706",15706,5
"15707",15707,NA
"15708",15708,NA
"15709",15709,2
"15710",15710,NA
"15711",15711,NA
"15712",15712,3
"15713",15713,2
"15714",15714,NA
"15715",15715,NA
"15716",15716,5
"15717",15717,NA
"15718",15718,NA
"15719",15719,NA
"15720",15720,5
"15721",15721,3
"15722",15722,NA
"15723",15723,2
"15724",15724,NA
"15725",15725,2
"15726",15726,4
"15727",15727,5
"15728",15728,NA
"15729",15729,NA
"15730",15730,NA
"15731",15731,NA
"15732",15732,3
"15733",15733,2
"15734",15734,NA
"15735",15735,4
"15736",15736,NA
"15737",15737,NA
"15738",15738,NA
"15739",15739,5
"15740",15740,3
"15741",15741,2
"15742",15742,3
"15743",15743,4
"15744",15744,1
"15745",15745,NA
"15746",15746,NA
"15747",15747,NA
"15748",15748,1
"15749",15749,5
"15750",15750,NA
"15751",15751,3
"15752",15752,5
"15753",15753,NA
"15754",15754,NA
"15755",15755,1
"15756",15756,1
"15757",15757,NA
"15758",15758,NA
"15759",15759,NA
"15760",15760,3
"15761",15761,NA
"15762",15762,1
"15763",15763,NA
"15764",15764,NA
"15765",15765,4
"15766",15766,NA
"15767",15767,NA
"15768",15768,NA
"15769",15769,NA
"15770",15770,2
"15771",15771,1
"15772",15772,NA
"15773",15773,NA
"15774",15774,1
"15775",15775,NA
"15776",15776,3
"15777",15777,2
"15778",15778,2
"15779",15779,5
"15780",15780,5
"15781",15781,NA
"15782",15782,5
"15783",15783,NA
"15784",15784,3
"15785",15785,3
"15786",15786,NA
"15787",15787,4
"15788",15788,1
"15789",15789,4
"15790",15790,NA
"15791",15791,3
"15792",15792,NA
"15793",15793,NA
"15794",15794,NA
"15795",15795,4
"15796",15796,NA
"15797",15797,3
"15798",15798,5
"15799",15799,1
"15800",15800,1
"15801",15801,2
"15802",15802,NA
"15803",15803,5
"15804",15804,3
"15805",15805,2
"15806",15806,NA
"15807",15807,2
"15808",15808,4
"15809",15809,2
"15810",15810,NA
"15811",15811,NA
"15812",15812,NA
"15813",15813,2
"15814",15814,NA
"15815",15815,5
"15816",15816,NA
"15817",15817,NA
"15818",15818,NA
"15819",15819,1
"15820",15820,NA
"15821",15821,NA
"15822",15822,NA
"15823",15823,NA
"15824",15824,NA
"15825",15825,3
"15826",15826,NA
"15827",15827,NA
"15828",15828,3
"15829",15829,4
"15830",15830,NA
"15831",15831,NA
"15832",15832,3
"15833",15833,NA
"15834",15834,4
"15835",15835,NA
"15836",15836,NA
"15837",15837,NA
"15838",15838,NA
"15839",15839,5
"15840",15840,5
"15841",15841,1
"15842",15842,NA
"15843",15843,3
"15844",15844,1
"15845",15845,NA
"15846",15846,4
"15847",15847,NA
"15848",15848,NA
"15849",15849,NA
"15850",15850,NA
"15851",15851,NA
"15852",15852,NA
"15853",15853,3
"15854",15854,1
"15855",15855,5
"15856",15856,2
"15857",15857,NA
"15858",15858,1
"15859",15859,NA
"15860",15860,NA
"15861",15861,NA
"15862",15862,NA
"15863",15863,2
"15864",15864,4
"15865",15865,3
"15866",15866,NA
"15867",15867,NA
"15868",15868,NA
"15869",15869,NA
"15870",15870,NA
"15871",15871,5
"15872",15872,NA
"15873",15873,4
"15874",15874,4
"15875",15875,3
"15876",15876,1
"15877",15877,5
"15878",15878,3
"15879",15879,1
"15880",15880,5
"15881",15881,1
"15882",15882,1
"15883",15883,NA
"15884",15884,NA
"15885",15885,NA
"15886",15886,NA
"15887",15887,NA
"15888",15888,3
"15889",15889,NA
"15890",15890,4
"15891",15891,2
"15892",15892,5
"15893",15893,5
"15894",15894,5
"15895",15895,4
"15896",15896,4
"15897",15897,NA
"15898",15898,NA
"15899",15899,NA
"15900",15900,NA
"15901",15901,NA
"15902",15902,5
"15903",15903,3
"15904",15904,2
"15905",15905,5
"15906",15906,NA
"15907",15907,3
"15908",15908,NA
"15909",15909,NA
"15910",15910,5
"15911",15911,NA
"15912",15912,NA
"15913",15913,1
"15914",15914,1
"15915",15915,3
"15916",15916,2
"15917",15917,NA
"15918",15918,1
"15919",15919,NA
"15920",15920,NA
"15921",15921,2
"15922",15922,3
"15923",15923,1
"15924",15924,NA
"15925",15925,NA
"15926",15926,4
"15927",15927,3
"15928",15928,NA
"15929",15929,4
"15930",15930,3
"15931",15931,4
"15932",15932,NA
"15933",15933,NA
"15934",15934,1
"15935",15935,4
"15936",15936,5
"15937",15937,4
"15938",15938,NA
"15939",15939,4
"15940",15940,4
"15941",15941,4
"15942",15942,NA
"15943",15943,NA
"15944",15944,NA
"15945",15945,1
"15946",15946,NA
"15947",15947,3
"15948",15948,3
"15949",15949,1
"15950",15950,NA
"15951",15951,4
"15952",15952,1
"15953",15953,4
"15954",15954,4
"15955",15955,NA
"15956",15956,5
"15957",15957,NA
"15958",15958,5
"15959",15959,NA
"15960",15960,NA
"15961",15961,NA
"15962",15962,3
"15963",15963,NA
"15964",15964,2
"15965",15965,NA
"15966",15966,NA
"15967",15967,NA
"15968",15968,NA
"15969",15969,4
"15970",15970,3
"15971",15971,NA
"15972",15972,5
"15973",15973,4
"15974",15974,4
"15975",15975,NA
"15976",15976,NA
"15977",15977,NA
"15978",15978,5
"15979",15979,NA
"15980",15980,NA
"15981",15981,NA
"15982",15982,5
"15983",15983,4
"15984",15984,NA
"15985",15985,2
"15986",15986,NA
"15987",15987,3
"15988",15988,NA
"15989",15989,5
"15990",15990,NA
"15991",15991,2
"15992",15992,5
"15993",15993,5
"15994",15994,5
"15995",15995,NA
"15996",15996,3
"15997",15997,NA
"15998",15998,5
"15999",15999,NA
"16000",16000,5
"16001",16001,3
"16002",16002,NA
"16003",16003,NA
"16004",16004,NA
"16005",16005,3
"16006",16006,NA
"16007",16007,NA
"16008",16008,3
"16009",16009,1
"16010",16010,5
"16011",16011,NA
"16012",16012,NA
"16013",16013,2
"16014",16014,NA
"16015",16015,NA
"16016",16016,5
"16017",16017,1
"16018",16018,5
"16019",16019,1
"16020",16020,NA
"16021",16021,2
"16022",16022,NA
"16023",16023,NA
"16024",16024,NA
"16025",16025,2
"16026",16026,3
"16027",16027,NA
"16028",16028,NA
"16029",16029,2
"16030",16030,4
"16031",16031,NA
"16032",16032,NA
"16033",16033,NA
"16034",16034,NA
"16035",16035,5
"16036",16036,NA
"16037",16037,5
"16038",16038,3
"16039",16039,5
"16040",16040,NA
"16041",16041,1
"16042",16042,NA
"16043",16043,1
"16044",16044,3
"16045",16045,2
"16046",16046,NA
"16047",16047,4
"16048",16048,NA
"16049",16049,5
"16050",16050,NA
"16051",16051,NA
"16052",16052,NA
"16053",16053,5
"16054",16054,NA
"16055",16055,NA
"16056",16056,NA
"16057",16057,NA
"16058",16058,3
"16059",16059,NA
"16060",16060,NA
"16061",16061,3
"16062",16062,1
"16063",16063,NA
"16064",16064,NA
"16065",16065,NA
"16066",16066,NA
"16067",16067,3
"16068",16068,NA
"16069",16069,5
"16070",16070,4
"16071",16071,NA
"16072",16072,NA
"16073",16073,NA
"16074",16074,NA
"16075",16075,2
"16076",16076,3
"16077",16077,1
"16078",16078,4
"16079",16079,1
"16080",16080,4
"16081",16081,NA
"16082",16082,NA
"16083",16083,3
"16084",16084,NA
"16085",16085,NA
"16086",16086,NA
"16087",16087,NA
"16088",16088,5
"16089",16089,NA
"16090",16090,NA
"16091",16091,3
"16092",16092,1
"16093",16093,3
"16094",16094,NA
"16095",16095,NA
"16096",16096,NA
"16097",16097,NA
"16098",16098,5
"16099",16099,NA
"16100",16100,NA
"16101",16101,NA
"16102",16102,3
"16103",16103,NA
"16104",16104,NA
"16105",16105,3
"16106",16106,NA
"16107",16107,NA
"16108",16108,NA
"16109",16109,4
"16110",16110,4
"16111",16111,NA
"16112",16112,NA
"16113",16113,2
"16114",16114,NA
"16115",16115,2
"16116",16116,2
"16117",16117,5
"16118",16118,NA
"16119",16119,NA
"16120",16120,NA
"16121",16121,NA
"16122",16122,5
"16123",16123,1
"16124",16124,NA
"16125",16125,3
"16126",16126,2
"16127",16127,NA
"16128",16128,NA
"16129",16129,NA
"16130",16130,3
"16131",16131,1
"16132",16132,3
"16133",16133,5
"16134",16134,1
"16135",16135,NA
"16136",16136,NA
"16137",16137,4
"16138",16138,4
"16139",16139,NA
"16140",16140,1
"16141",16141,NA
"16142",16142,4
"16143",16143,NA
"16144",16144,3
"16145",16145,NA
"16146",16146,5
"16147",16147,NA
"16148",16148,NA
"16149",16149,3
"16150",16150,5
"16151",16151,NA
"16152",16152,NA
"16153",16153,NA
"16154",16154,NA
"16155",16155,2
"16156",16156,4
"16157",16157,2
"16158",16158,4
"16159",16159,NA
"16160",16160,NA
"16161",16161,5
"16162",16162,NA
"16163",16163,2
"16164",16164,NA
"16165",16165,NA
"16166",16166,NA
"16167",16167,NA
"16168",16168,NA
"16169",16169,NA
"16170",16170,4
"16171",16171,NA
"16172",16172,NA
"16173",16173,NA
"16174",16174,NA
"16175",16175,NA
"16176",16176,1
"16177",16177,NA
"16178",16178,NA
"16179",16179,1
"16180",16180,5
"16181",16181,NA
"16182",16182,3
"16183",16183,NA
"16184",16184,NA
"16185",16185,NA
"16186",16186,2
"16187",16187,1
"16188",16188,3
"16189",16189,NA
"16190",16190,4
"16191",16191,NA
"16192",16192,2
"16193",16193,1
"16194",16194,NA
"16195",16195,NA
"16196",16196,NA
"16197",16197,NA
"16198",16198,NA
"16199",16199,4
"16200",16200,4
"16201",16201,2
"16202",16202,1
"16203",16203,2
"16204",16204,2
"16205",16205,3
"16206",16206,1
"16207",16207,3
"16208",16208,NA
"16209",16209,NA
"16210",16210,3
"16211",16211,3
"16212",16212,2
"16213",16213,NA
"16214",16214,5
"16215",16215,4
"16216",16216,5
"16217",16217,4
"16218",16218,NA
"16219",16219,NA
"16220",16220,NA
"16221",16221,NA
"16222",16222,NA
"16223",16223,3
"16224",16224,NA
"16225",16225,5
"16226",16226,5
"16227",16227,NA
"16228",16228,4
"16229",16229,3
"16230",16230,NA
"16231",16231,NA
"16232",16232,5
"16233",16233,5
"16234",16234,3
"16235",16235,5
"16236",16236,NA
"16237",16237,NA
"16238",16238,5
"16239",16239,5
"16240",16240,NA
"16241",16241,NA
"16242",16242,NA
"16243",16243,NA
"16244",16244,NA
"16245",16245,3
"16246",16246,3
"16247",16247,NA
"16248",16248,NA
"16249",16249,5
"16250",16250,2
"16251",16251,NA
"16252",16252,NA
"16253",16253,NA
"16254",16254,1
"16255",16255,1
"16256",16256,5
"16257",16257,5
"16258",16258,NA
"16259",16259,NA
"16260",16260,NA
"16261",16261,NA
"16262",16262,3
"16263",16263,NA
"16264",16264,NA
"16265",16265,3
"16266",16266,3
"16267",16267,NA
"16268",16268,1
"16269",16269,NA
"16270",16270,4
"16271",16271,NA
"16272",16272,1
"16273",16273,3
"16274",16274,NA
"16275",16275,1
"16276",16276,NA
"16277",16277,4
"16278",16278,NA
"16279",16279,NA
"16280",16280,4
"16281",16281,NA
"16282",16282,NA
"16283",16283,5
"16284",16284,NA
"16285",16285,3
"16286",16286,2
"16287",16287,3
"16288",16288,4
"16289",16289,2
"16290",16290,5
"16291",16291,3
"16292",16292,NA
"16293",16293,NA
"16294",16294,NA
"16295",16295,1
"16296",16296,NA
"16297",16297,4
"16298",16298,5
"16299",16299,4
"16300",16300,4
"16301",16301,4
"16302",16302,1
"16303",16303,NA
"16304",16304,3
"16305",16305,2
"16306",16306,3
"16307",16307,NA
"16308",16308,NA
"16309",16309,2
"16310",16310,NA
"16311",16311,NA
"16312",16312,1
"16313",16313,NA
"16314",16314,3
"16315",16315,NA
"16316",16316,NA
"16317",16317,NA
"16318",16318,4
"16319",16319,4
"16320",16320,NA
"16321",16321,NA
"16322",16322,NA
"16323",16323,5
"16324",16324,5
"16325",16325,NA
"16326",16326,4
"16327",16327,5
"16328",16328,2
"16329",16329,3
"16330",16330,NA
"16331",16331,2
"16332",16332,1
"16333",16333,NA
"16334",16334,4
"16335",16335,3
"16336",16336,NA
"16337",16337,NA
"16338",16338,NA
"16339",16339,3
"16340",16340,5
"16341",16341,NA
"16342",16342,5
"16343",16343,4
"16344",16344,1
"16345",16345,4
"16346",16346,1
"16347",16347,3
"16348",16348,3
"16349",16349,2
"16350",16350,4
"16351",16351,1
"16352",16352,1
"16353",16353,1
"16354",16354,4
"16355",16355,1
"16356",16356,3
"16357",16357,3
"16358",16358,NA
"16359",16359,2
"16360",16360,5
"16361",16361,2
"16362",16362,5
"16363",16363,3
"16364",16364,1
"16365",16365,NA
"16366",16366,NA
"16367",16367,NA
"16368",16368,5
"16369",16369,5
"16370",16370,NA
"16371",16371,2
"16372",16372,2
"16373",16373,NA
"16374",16374,NA
"16375",16375,NA
"16376",16376,4
"16377",16377,NA
"16378",16378,NA
"16379",16379,NA
"16380",16380,4
"16381",16381,NA
"16382",16382,5
"16383",16383,NA
"16384",16384,NA
"16385",16385,NA
"16386",16386,4
"16387",16387,4
"16388",16388,NA
"16389",16389,3
"16390",16390,4
"16391",16391,2
"16392",16392,5
"16393",16393,NA
"16394",16394,NA
"16395",16395,3
"16396",16396,3
"16397",16397,NA
"16398",16398,NA
"16399",16399,5
"16400",16400,5
"16401",16401,3
"16402",16402,NA
"16403",16403,3
"16404",16404,NA
"16405",16405,4
"16406",16406,2
"16407",16407,NA
"16408",16408,4
"16409",16409,2
"16410",16410,NA
"16411",16411,5
"16412",16412,NA
"16413",16413,NA
"16414",16414,4
"16415",16415,4
"16416",16416,NA
"16417",16417,NA
"16418",16418,1
"16419",16419,NA
"16420",16420,4
"16421",16421,NA
"16422",16422,1
"16423",16423,2
"16424",16424,4
"16425",16425,4
"16426",16426,NA
"16427",16427,2
"16428",16428,NA
"16429",16429,NA
"16430",16430,4
"16431",16431,NA
"16432",16432,2
"16433",16433,4
"16434",16434,1
"16435",16435,5
"16436",16436,NA
"16437",16437,NA
"16438",16438,NA
"16439",16439,3
"16440",16440,NA
"16441",16441,NA
"16442",16442,4
"16443",16443,NA
"16444",16444,4
"16445",16445,1
"16446",16446,3
"16447",16447,5
"16448",16448,4
"16449",16449,5
"16450",16450,NA
"16451",16451,9
"16452",16452,NA
"16453",16453,NA
"16454",16454,NA
"16455",16455,NA
"16456",16456,NA
"16457",16457,NA
"16458",16458,3
"16459",16459,NA
"16460",16460,NA
"16461",16461,NA
"16462",16462,NA
"16463",16463,NA
"16464",16464,NA
"16465",16465,5
"16466",16466,NA
"16467",16467,NA
"16468",16468,3
"16469",16469,NA
"16470",16470,3
"16471",16471,NA
"16472",16472,NA
"16473",16473,NA
"16474",16474,5
"16475",16475,NA
"16476",16476,5
"16477",16477,4
"16478",16478,NA
"16479",16479,4
"16480",16480,2
"16481",16481,5
"16482",16482,2
"16483",16483,NA
"16484",16484,5
"16485",16485,NA
"16486",16486,NA
"16487",16487,NA
"16488",16488,NA
"16489",16489,2
"16490",16490,NA
"16491",16491,5
"16492",16492,1
"16493",16493,1
"16494",16494,NA
"16495",16495,NA
"16496",16496,1
"16497",16497,1
"16498",16498,5
"16499",16499,4
"16500",16500,NA
"16501",16501,5
"16502",16502,NA
"16503",16503,4
"16504",16504,5
"16505",16505,4
"16506",16506,3
"16507",16507,NA
"16508",16508,4
"16509",16509,2
"16510",16510,3
"16511",16511,NA
"16512",16512,NA
"16513",16513,3
"16514",16514,NA
"16515",16515,2
"16516",16516,4
"16517",16517,NA
"16518",16518,NA
"16519",16519,NA
"16520",16520,4
"16521",16521,NA
"16522",16522,NA
"16523",16523,NA
"16524",16524,NA
"16525",16525,5
"16526",16526,3
"16527",16527,3
"16528",16528,NA
"16529",16529,3
"16530",16530,NA
"16531",16531,3
"16532",16532,NA
"16533",16533,NA
"16534",16534,5
"16535",16535,5
"16536",16536,NA
"16537",16537,NA
"16538",16538,3
"16539",16539,5
"16540",16540,NA
"16541",16541,NA
"16542",16542,NA
"16543",16543,NA
"16544",16544,1
"16545",16545,4
"16546",16546,NA
"16547",16547,1
"16548",16548,1
"16549",16549,NA
"16550",16550,NA
"16551",16551,4
"16552",16552,9
"16553",16553,5
"16554",16554,4
"16555",16555,NA
"16556",16556,NA
"16557",16557,NA
"16558",16558,NA
"16559",16559,NA
"16560",16560,2
"16561",16561,3
"16562",16562,NA
"16563",16563,5
"16564",16564,3
"16565",16565,3
"16566",16566,1
"16567",16567,NA
"16568",16568,1
"16569",16569,NA
"16570",16570,4
"16571",16571,5
"16572",16572,5
"16573",16573,NA
"16574",16574,NA
"16575",16575,2
"16576",16576,NA
"16577",16577,NA
"16578",16578,5
"16579",16579,1
"16580",16580,NA
"16581",16581,4
"16582",16582,2
"16583",16583,3
"16584",16584,3
"16585",16585,NA
"16586",16586,NA
"16587",16587,4
"16588",16588,NA
"16589",16589,NA
"16590",16590,NA
"16591",16591,2
"16592",16592,NA
"16593",16593,4
"16594",16594,NA
"16595",16595,NA
"16596",16596,NA
"16597",16597,NA
"16598",16598,NA
"16599",16599,3
"16600",16600,4
"16601",16601,NA
"16602",16602,NA
"16603",16603,NA
"16604",16604,2
"16605",16605,NA
"16606",16606,NA
"16607",16607,5
"16608",16608,NA
"16609",16609,NA
"16610",16610,4
"16611",16611,NA
"16612",16612,4
"16613",16613,NA
"16614",16614,NA
"16615",16615,1
"16616",16616,1
"16617",16617,NA
"16618",16618,NA
"16619",16619,NA
