"","SEQN","Schooling"
"422",422,NA
"423",423,NA
"424",424,1
"425",425,NA
"426",426,5
"427",427,NA
"428",428,NA
"429",429,2
"430",430,4
"431",431,NA
"432",432,3
"433",433,NA
"434",434,2
"435",435,NA
"436",436,4
"437",437,4
"438",438,NA
"439",439,4
"440",440,NA
"441",441,NA
"442",442,1
"443",443,1
"444",444,NA
"445",445,NA
"446",446,2
"447",447,4
"448",448,NA
"449",449,NA
"450",450,NA
"451",451,9
"452",452,3
"453",453,3
"454",454,NA
"455",455,NA
"456",456,NA
"457",457,NA
"458",458,1
"459",459,2
"460",460,4
"461",461,4
"462",462,NA
"463",463,2
"464",464,NA
"465",465,5
"466",466,5
"467",467,NA
"468",468,4
"469",469,5
"470",470,NA
"471",471,NA
"472",472,4
"473",473,NA
"474",474,2
"475",475,4
"476",476,NA
"477",477,1
"478",478,4
"479",479,NA
"480",480,NA
"481",481,1
"482",482,NA
"483",483,NA
"484",484,3
"485",485,NA
"486",486,NA
"487",487,NA
"488",488,4
"489",489,5
"490",490,NA
"491",491,NA
"492",492,NA
"493",493,3
"494",494,NA
"495",495,NA
"496",496,NA
"497",497,NA
"498",498,NA
"499",499,5
"500",500,NA
"501",501,NA
"502",502,NA
"503",503,NA
"504",504,3
"505",505,4
"506",506,NA
"507",507,NA
"508",508,1
"509",509,3
"510",510,NA
"511",511,NA
"512",512,2
"513",513,NA
"514",514,4
"515",515,NA
"516",516,NA
"517",517,2
"518",518,NA
"519",519,NA
"520",520,NA
"521",521,NA
"522",522,3
"523",523,NA
"524",524,3
"525",525,NA
"526",526,4
"527",527,2
"528",528,2
"529",529,NA
"530",530,NA
"531",531,4
"532",532,2
"533",533,NA
"534",534,NA
"535",535,4
"536",536,NA
"537",537,3
"538",538,NA
"539",539,2
"540",540,NA
"541",541,1
"542",542,2
"543",543,4
"544",544,NA
"545",545,NA
"546",546,NA
"547",547,NA
"548",548,NA
"549",549,NA
"550",550,1
"551",551,3
"552",552,NA
"553",553,NA
"554",554,1
"555",555,NA
"556",556,NA
"557",557,NA
"558",558,NA
"559",559,NA
"560",560,3
"561",561,3
"562",562,2
"563",563,2
"564",564,NA
"565",565,NA
"566",566,NA
"567",567,NA
"568",568,5
"569",569,3
"570",570,3
"571",571,NA
"572",572,5
"573",573,NA
"574",574,NA
"575",575,NA
"576",576,1
"577",577,4
"578",578,4
"579",579,NA
"580",580,NA
"581",581,5
"582",582,2
"583",583,2
"584",584,4
"585",585,5
"586",586,4
"587",587,NA
"588",588,2
"589",589,NA
"590",590,NA
"591",591,NA
"592",592,5
"593",593,3
"594",594,NA
"595",595,4
"596",596,5
"597",597,NA
"598",598,5
"599",599,NA
"600",600,NA
"601",601,NA
"602",602,1
"603",603,NA
"604",604,NA
"605",605,4
"606",606,NA
"607",607,3
"608",608,NA
"609",609,NA
"610",610,5
"611",611,NA
"612",612,NA
"613",613,1
"614",614,3
"615",615,3
"616",616,3
"617",617,NA
"618",618,NA
"619",619,NA
"620",620,1
"621",621,NA
"622",622,4
"623",623,NA
"624",624,NA
"625",625,NA
"626",626,3
"627",627,1
"628",628,3
"629",629,NA
"630",630,NA
"631",631,NA
"632",632,NA
"633",633,1
"634",634,NA
"635",635,NA
"636",636,4
"637",637,NA
"638",638,NA
"639",639,4
"640",640,1
"641",641,NA
"642",642,2
"643",643,4
"644",644,5
"645",645,4
"646",646,3
"647",647,5
"648",648,NA
"649",649,NA
"650",650,NA
"651",651,3
"652",652,1
"653",653,NA
"654",654,1
"655",655,3
"656",656,NA
"657",657,NA
"658",658,5
"659",659,NA
"660",660,4
"661",661,NA
"662",662,3
"663",663,NA
"664",664,NA
"665",665,3
"666",666,4
"667",667,1
"668",668,3
"669",669,1
"670",670,NA
"671",671,3
"672",672,4
"673",673,NA
"674",674,4
"675",675,4
"676",676,5
"677",677,2
"678",678,3
"679",679,NA
"680",680,NA
"681",681,4
"682",682,NA
"683",683,4
"684",684,3
"685",685,2
"686",686,5
"687",687,NA
"688",688,5
"689",689,5
"690",690,4
"691",691,NA
"692",692,4
"693",693,NA
"694",694,NA
"695",695,3
"696",696,NA
"697",697,4
"698",698,4
"699",699,NA
"700",700,NA
"701",701,4
"702",702,NA
"703",703,1
"704",704,NA
"705",705,1
"706",706,NA
"707",707,NA
"708",708,1
"709",709,NA
"710",710,NA
"711",711,NA
"712",712,NA
"713",713,5
